participating_org	donors	donors_iso3	donor_country
Agencia Andaluza de Cooperación Internacional para el Desarrollo	Andalusian Agency for International Development Cooperation	ESP	Spain
Agencia Danesa de Cooperación al Desarrollo	Danish International Development Agency	DNK	Denmark
Agencia de Cooperación Internacional de Corea	Korea International Cooperation Agency	KOR	South Korea
Agencia de los Estados Unidos para el Desarrollo Internacional	United States Agency for International Development (USAID)	USA	United States
Agencia Española de Cooperación Internacional para el Desarrollo	Spanish Agency for International Development Cooperation	ESP	Spain
Agencia Sueca de Desarrollo Internacional	Swedish International Development Cooperation Agency	SWE	Sweden
Ayuda en Acción	ActionAid	DAC	
Banco Artigiancassa S.p.A de Italia	Artigiancassa S.p.A.	ITA	Italy
Banco Bilbao Vizcaya Argentaria	Banco Bilbao Vizcaya Argentaria	ESP	Spain
Banco Centroamericano de Integración Económica	Central American Bank for Economic Integration	DAC	
Banco Interamericano de Desarrollo	Inter-American Development Bank	DAC	
Banco Mundial	World Bank	DAC	
Cooperación Suiza para el Desarrollo y la Cooperación	Swiss Agency for Development and Cooperation	CHE	Switzerland
Cruz Roja Hondureña	Honduran Red Cross	HND	Honduras
Cuenta del Desafio del Milenio	Millennium Challenge Account	USA	United States
Danish Church Aid [Cooperación de la Iglesia Danesa]	DanChurchAid	DNK	Denmark
Departamento de Estado de Estados Unidos	United States Department of State	USA	United States
Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres	UN Women	DAC	
Exim-Bank India	Eximbank India	IND	India
EXIMBank China	Eximbank China	CHN	China
EXIMBank de Corea	Eximbank Korea	KOR	South Korea
Fondo Arabe Kuwaití para el Desarrollo	Kuwait Fund for Arab Economic Development	KWT	Kuwait
Fondo Coreano de Alianza para el Conocimiento en Tecnología e Innovación	Knowledge Partnership Korea Fund for Technology and Innovation	KOR	South Korea
Fondo de Cooperación de Desarrollo Económico	Economic Development Cooperation Fund	KOR	South Korea
Fondo de las Naciones Unidas para la Infancia	United Nations Children's Fund (UNICEF)	DAC	
Fondo de Población de las Naciones Unidas	United Nations Population Fund (UNFPA)	DAC	
Fondo Internacional de Desarrollo Agrícola	International Fund for Agricultural Development (IFAD)	DAC	
Fondo Mundial del Ambiente	Global Environment Facility	DAC	
Fondo Nórdico De Desarrollo	Nordic Development Fund	DAC	
Fondo ODM-España	MDG Achievement Fund	DAC	
Fondo para el Desarrollo Internacional de la Organización de los Países Exportadores de Petroleo (OPEP)	OPEC Fund for International Development (OFID)	DAC	
Fondo Social de Desarrollo Japones	Japan Social Development Fund	JPN	Japan
Gobierno de Bélgica	Government of Belgium	BEL	Belgium
Gobierno de Canadá	Government of Canada	CAN	Canada
Gobierno de Dinamarca	Government of Denmark	DNK	Denmark
Gobierno de España	Government of Spain	ESP	Spain
Gobierno de Finlandia	Government of Finland	FIN	Finland
Gobierno de Holanda (Países Bajos)	Government of the Netherlands	NLD	Netherlands
Gobierno de Italia	Government of Italy	ITA	Italy
Gobierno de Japón	Government of Japan	JPN	Japan
Gobierno de La República de Corea del Sur	Government of the Republic of South Korea	KOR	South Korea
Gobierno de La República Federal de Alemania	Government of the Federal Republic of Germany	DEU	Germany
Gobierno de Taiwan	Government of Taiwan	TWN	Taiwan
ING Bank N.V.	ING Group	DAC	
Instituto de Crédito Oficial de España	Official Credit Institute	ESP	Spain
Instituto de las Naciones Unidas para Formación Profesional e Investigaciones	United Nations Institute for Training and Research	DAC	
Instituto Nacional Agrario	National Agrarian Institute	HND	Honduras
Instituto Nacional de Conservación y Desarrollo Forestal	National Institute of Forest Conservation and Development, Protected Areas and Wildlife (ICF)	HND	Honduras
International Cooperation & Development Fund	International Cooperation & Development Fund	TWN	Taiwan
Ministerio de Industria y Comercio de España	Ministry of Industry	ESP	Spain
Ministerio de Relaciones Exteriores, Comercio y Desarrollo de Canadá	Department of Foreign Affairs, Trade and Development	CAN	Canada
Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos	Office of the United Nations High Commissioner for Human Rights	DAC	
Oficina para la Coordinación de Asuntos Humanitarios	United Nations Office for the Coordination of Humanitarian Affairs	DAC	
Organismo Internacional de Energía Atómica	International Atomic Energy Agency	DAC	
Organización de Estados Iberoamericanos	Organization of American States	DAC	
Organización de las Naciones Unidas para la Agricultura y la Alimentación	Food and Agriculture Organization of the United Nations	DAC	
Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura	United Nations Educational, Scientific and Cultural Organization	DAC	
Organización Holandesa de Cooperación al Desarrollo	Netherlands Development Cooperation	NLD	Netherlands
Organización Internacional del Trabajo	International Labour Organization	DAC	
Organización Internacional para las Migraciones	International Organization for Migration	DAC	
Organización Panamericana de la Salud	Pan American Health Organization	DAC	
Programa Conjunto de Las Naciones unidas Sobre el VIH/SIDA	Joint United Nations Programme on HIV/AIDS	DAC	
Programa de las Naciones Unidas para el Desarrollo	United Nations Development Programme	DAC	
Programa de las Naciones Unidas para el Medio Ambiente	United Nations Environment Programme	DAC	
Programa Mundial de Alimentos	World Food Programme	DAC	
Secretaría de Justicia y Derechos Humanos	Ministry of Justice and Human Rights	PER	Peru
Servicio Holandés de Cooperación al Desarrollo	Netherlands Development Cooperation	NLD	Netherlands
Unicredit Bank de Austria AG	Bank Austria	DAC	
Unión Europea	European Union	DAC	
Voluntarios de Las Naciones Unidas	United Nations Volunteers	DAC	
